X1	X2	u1	u2	u3	Label
-0.06	-0.20	0.098	1.000	0.057	1
-0.19	0.06	1.000	0.132	0.000	1
-0.17	0.02	1.000	0.396	0.000	1
-0.19	0.01	1.000	0.501	0.000	1
-0.30	-0.01	1.000	0.816	0.000	1
-0.30	-0.10	0.286	1.000	0.000	1
-0.31	0.02	1.000	0.409	0.000	1
0.07	0.08	0.973	0.303	1.000	1
-0.20	-0.03	0.776	1.000	0.000	1
-0.04	0.10	1.000	0.052	0.028	1
-0.13	0.04	1.000	0.290	0.002	1
0.08	0.05	0.706	0.512	1.000	1
-0.05	-0.07	0.237	1.000	0.017	1
-0.34	-0.01	1.000	0.732	0.000	1
-0.22	0.10	1.000	0.031	0.000	1
-0.05	-0.01	0.733	1.000	0.023	1
-0.13	0.08	1.000	0.084	0.001	1
0.14	0.24	0.050	0.000	1.000	1
-0.18	0.13	1.000	0.009	0.000	1
-0.39	0.16	1.000	0.004	0.000	1
-0.11	0.28	1.000	0.000	0.014	1
0.15	-0.05	0.051	0.947	1.000	2
0.00	-0.08	0.139	1.000	0.060	2
0.31	-0.15	0.000	0.183	1.000	2
-0.25	-0.14	0.207	1.000	0.000	2
-0.21	-0.11	0.242	1.000	0.000	2
0.32	-0.08	0.001	0.354	1.000	2
0.01	-0.17	0.062	1.000	0.219	2
-0.08	-0.08	0.251	1.000	0.005	2
0.01	-0.02	0.332	1.000	0.101	2
-0.13	-0.09	0.256	1.000	0.001	2
-0.13	-0.11	0.207	1.000	0.001	2
-0.15	-0.04	0.543	1.000	0.001	2
-0.18	0.01	1.000	0.574	0.000	2
-0.26	-0.09	0.317	1.000	0.000	2
-0.09	-0.09	0.201	1.000	0.005	2
-0.19	-0.16	0.172	1.000	0.000	2
0.21	-0.13	0.005	0.412	1.000	2
-0.03	-0.03	0.442	1.000	0.033	2
0.12	-0.07	0.055	1.000	0.667	2
-0.10	-0.02	0.811	1.000	0.004	2
-0.09	-0.02	0.677	1.000	0.006	2
0.17	-0.04	0.040	0.727	1.000	2
0.21	-0.02	0.021	0.382	1.000	2
-0.07	0.03	1.000	0.440	0.012	2
0.26	-0.03	0.008	0.330	1.000	2
0.02	-0.04	0.255	1.000	0.098	2
-0.00	-0.07	0.177	1.000	0.052	2
0.35	-0.14	0.000	0.216	1.000	2
0.23	-0.10	0.006	0.462	1.000	2
0.10	-0.04	0.109	1.000	0.512	2
0.00	-0.13	0.079	1.000	0.094	2
-0.18	-0.03	0.716	1.000	0.000	2
-0.10	-0.04	0.453	1.000	0.004	2
0.28	-0.06	0.004	0.365	1.000	2
-0.47	-0.04	0.388	1.000	0.000	2
-0.20	-0.06	0.453	1.000	0.000	2
-0.11	-0.07	0.333	1.000	0.002	2
-0.05	-0.06	0.242	1.000	0.016	2
-0.43	-0.00	1.000	0.916	0.000	2
0.03	-0.07	0.134	1.000	0.109	2
0.07	-0.23	0.010	0.240	1.000	2
-0.26	-0.09	0.308	1.000	0.000	2
-0.13	-0.05	0.441	1.000	0.001	2
-0.31	-0.00	1.000	0.659	0.000	2
0.24	0.02	0.016	0.161	1.000	2
-0.00	-0.12	0.090	1.000	0.071	2
-0.12	-0.02	0.883	1.000	0.002	2
-0.26	-0.05	0.606	1.000	0.000	2
-0.06	-0.08	0.212	1.000	0.012	2
0.25	-0.06	0.005	0.410	1.000	2
-0.02	-0.07	0.204	1.000	0.033	2
-0.01	-0.06	0.219	1.000	0.050	2
-0.31	-0.05	0.595	1.000	0.000	2
-0.04	-0.11	0.137	1.000	0.021	2
0.08	-0.13	0.045	1.000	0.432	2
-0.35	-0.00	1.000	0.686	0.000	2
0.15	-0.08	0.040	1.000	0.901	2
0.41	0.03	0.001	0.172	1.000	2
-0.38	-0.12	0.199	1.000	0.000	2
-0.48	-0.10	0.161	1.000	0.000	2
-0.09	0.03	1.000	0.474	0.006	2
0.07	0.03	0.674	1.000	0.792	2
-0.09	-0.13	0.144	1.000	0.006	2
-0.11	-0.05	0.412	1.000	0.003	2
-0.07	0.02	1.000	0.586	0.011	2
-0.28	0.02	1.000	0.359	0.000	2
-0.40	-0.15	0.160	1.000	0.000	2
0.23	0.04	0.020	0.120	1.000	2
-0.02	-0.02	0.443	1.000	0.047	2
-0.31	-0.05	0.590	1.000	0.000	2
0.14	-0.08	0.044	1.000	0.783	2
-0.33	-0.13	0.217	1.000	0.000	2
-0.10	-0.06	0.354	1.000	0.003	2
0.07	-0.08	0.082	1.000	0.262	2
-0.24	0.08	1.000	0.056	0.000	2
-0.14	-0.05	0.466	1.000	0.001	2
-0.07	-0.08	0.236	1.000	0.008	2
0.31	-0.06	0.002	0.356	1.000	2
0.01	-0.10	0.097	1.000	0.089	2
-0.15	0.07	1.000	0.109	0.000	2
-0.12	-0.02	0.732	1.000	0.002	2
-0.13	-0.06	0.393	1.000	0.001	2
0.18	0.01	0.051	0.367	1.000	2
-0.13	-0.07	0.354	1.000	0.001	2
-0.23	-0.07	0.420	1.000	0.000	2
-0.03	-0.10	0.136	1.000	0.029	2
-0.09	-0.10	0.186	1.000	0.004	2
0.08	0.04	0.751	0.838	1.000	2
0.11	-0.02	0.173	1.000	0.789	2
0.14	-0.06	0.058	1.000	0.820	2
0.05	0.04	1.000	0.723	0.577	2
0.05	-0.06	0.128	1.000	0.172	2
0.30	-0.05	0.003	0.335	1.000	2
-0.30	-0.15	0.187	1.000	0.000	2
-0.14	-0.03	0.650	1.000	0.001	2
-0.41	-0.16	0.147	1.000	0.000	2
0.10	-0.13	0.036	1.000	0.678	2
-0.07	-0.00	0.908	1.000	0.013	2
-0.13	-0.04	0.542	1.000	0.001	2
-0.41	-0.12	0.184	1.000	0.000	2
0.18	-0.16	0.004	0.337	1.000	3
0.24	0.18	0.011	0.000	1.000	3
0.24	0.01	0.015	0.232	1.000	3
0.05	0.26	0.424	0.000	1.000	3
0.10	-0.21	0.009	0.292	1.000	3
0.04	0.05	1.000	0.664	0.474	3
0.21	-0.20	0.001	0.090	1.000	3
0.05	0.12	1.000	0.061	0.551	3
0.29	0.25	0.002	0.000	1.000	3
0.12	0.20	0.153	0.001	1.000	3
0.11	-0.40	0.000	0.000	1.000	3
0.39	0.13	0.002	0.005	1.000	3
0.43	0.00	0.001	0.328	1.000	3
0.14	0.06	0.177	0.165	1.000	3
0.21	-0.10	0.006	0.473	1.000	3
0.41	-0.32	0.000	0.001	1.000	3
0.17	0.17	0.064	0.001	1.000	3
0.39	-0.10	0.000	0.403	1.000	3
0.30	-0.06	0.002	0.358	1.000	3
0.22	0.03	0.023	0.153	1.000	3
0.18	0.48	0.000	0.000	1.000	3
0.38	0.44	0.000	0.000	1.000	3
0.29	-0.25	0.000	0.010	1.000	3
0.16	-0.09	0.028	0.931	1.000	3
0.26	0.19	0.008	0.000	1.000	3
0.13	-0.40	0.000	0.000	1.000	3
0.23	0.24	0.007	0.000	1.000	3
0.37	-0.06	0.001	0.391	1.000	3
0.27	0.27	0.002	0.000	1.000	3
0.14	-0.17	0.008	0.410	1.000	3
0.25	-0.18	0.001	0.126	1.000	3
0.15	0.44	0.000	0.000	1.000	3
0.42	0.11	0.001	0.013	1.000	3
0.04	-0.06	0.140	1.000	0.153	3
0.15	-0.20	0.003	0.177	1.000	3
0.29	0.21	0.003	0.000	1.000	3
0.14	0.07	0.178	0.158	1.000	3
0.22	-0.43	0.000	0.000	1.000	3
0.28	-0.17	0.000	0.122	1.000	3
0.34	0.57	0.000	0.000	1.000	3
0.13	-0.00	0.166	0.846	1.000	3
0.20	-0.38	0.000	0.000	1.000	3
0.17	-0.17	0.004	0.280	1.000	3
0.21	-0.08	0.011	0.563	1.000	3
0.25	0.13	0.013	0.004	1.000	3
0.16	-0.03	0.061	0.795	1.000	3
0.30	0.02	0.006	0.146	1.000	3
0.26	-0.00	0.009	0.242	1.000	3
0.17	-0.18	0.003	0.204	1.000	3
0.25	0.22	0.007	0.000	1.000	3
0.31	-0.07	0.002	0.356	1.000	3
0.32	-0.09	0.001	0.345	1.000	3
0.28	0.04	0.008	0.101	1.000	3
0.21	-0.01	0.022	0.373	1.000	3
0.16	-0.10	0.023	0.875	1.000	3
0.24	0.02	0.016	0.163	1.000	3
0.17	0.40	0.001	0.000	1.000	3
0.19	0.10	0.058	0.024	1.000	3
0.31	-0.13	0.001	0.261	1.000	3
0.36	-0.17	0.000	0.144	1.000	3
0.28	-0.05	0.004	0.352	1.000	3
0.42	-0.30	0.000	0.002	1.000	3
0.07	0.35	0.037	0.000	1.000	3
0.22	0.04	0.026	0.133	1.000	3
0.23	-0.22	0.000	0.040	1.000	3
0.38	0.02	0.002	0.154	1.000	3
0.27	-0.28	0.000	0.004	1.000	3
0.19	0.11	0.056	0.018	1.000	3
0.27	-0.04	0.005	0.330	1.000	3
0.28	0.01	0.007	0.186	1.000	3
0.24	0.07	0.020	0.052	1.000	3
0.02	0.16	1.000	0.008	0.288	3
0.32	-0.16	0.000	0.167	1.000	3
-0.12	-0.28	0.214	1.000	0.172	3
0.23	-0.02	0.014	0.357	1.000	3
0.07	-0.16	0.042	1.000	0.545	3
0.18	0.08	0.062	0.055	1.000	3
0.36	-0.35	0.000	0.000	1.000	3
0.17	0.16	0.064	0.002	1.000	3
0.41	0.06	0.002	0.076	1.000	3
0.29	-0.21	0.000	0.041	1.000	3
0.19	-0.06	0.019	0.630	1.000	3
0.13	0.16	0.164	0.004	1.000	3
0.17	0.46	0.000	0.000	1.000	3
0.25	-0.07	0.005	0.412	1.000	3
-0.01	0.26	1.000	0.000	0.356	3
0.28	-0.16	0.001	0.147	1.000	3
0.25	0.04	0.016	0.112	1.000	3
0.30	-0.04	0.003	0.322	1.000	3
0.42	0.06	0.001	0.069	1.000	3
0.19	-0.10	0.013	0.647	1.000	3
0.12	-0.27	0.001	0.019	1.000	3
0.33	-0.05	0.002	0.345	1.000	3
0.31	0.08	0.006	0.025	1.000	3
0.20	-0.10	0.009	0.543	1.000	3
0.16	-0.04	0.055	0.798	1.000	3
0.24	0.08	0.018	0.039	1.000	3
0.11	0.10	0.381	0.069	1.000	3
0.22	-0.14	0.002	0.295	1.000	3
0.16	-0.05	0.050	0.931	1.000	3
